Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GNI (constant LCU);NY.GNP.MKTP.KN;1.60234E+15;1.77012E+15;1.90931E+15;2.04045E+15;2.21322E+15;2.58695E+15;2.89039E+15;3.21094E+15;3.66297E+15;4.23179E+15;4.69302E+15;5.34132E+15;6.13436E+15;6.6069E+15;7.07441E+15;7.07846E+15;8.30698E+15;8.04171E+15;6.97817E+15;6.30335E+15;4.94388E+15;4.66025E+15;5.70256E+15;6.33895E+15;5.87647E+15;5.9727E+15;5.3897E+15;5.37333E+15;5.04594E+15;5.35583E+15;6.08492E+15;6.87332E+15;7.09143E+15;6.98564E+15;6.83287E+15;6.99503E+15;7.44291E+15;7.56123E+15;7.72971E+15;7.90831E+15;8.36589E+15;8.57169E+15;9.27002E+15;1.00602E+16;1.04565E+16;1.07861E+16;1.13554E+16;1.23168E+16;1.23554E+16;1.24258E+16;1.31535E+16;1.3511E+16;1.30903E+16;1.28894E+16;1.35084E+16;1.32507E+16;1.44255E+16;1.48243E+16;1.45416E+16;null;null;null;null
GNI (current LCU);NY.GNP.MKTP.CN;3.1005E+11;3.26759E+11;3.45822E+11;3.6247E+11;3.95185E+11;4.53999E+11;4.98745E+11;5.53721E+11;6.2827E+11;7.0824E+11;7.97125E+11;1.00013E+12;1.25911E+12;1.82149E+12;3.11384E+12;3.53091E+12;4.76717E+12;5.62724E+12;5.41569E+12;6.42785E+12;6.81678E+12;8.11406E+12;1.06733E+13;1.36949E+13;1.49521E+13;1.58155E+13;1.60178E+13;1.94098E+13;2.18857E+13;2.72162E+13;3.79705E+13;5.38807E+13;7.19003E+13;1.06164E+14;1.39098E+14;1.96365E+14;2.69192E+14;3.15952E+14;3.53299E+14;4.76115E+14;6.29204E+14;7.40042E+14;1.02649E+15;1.26049E+15;1.63438E+15;2.02623E+15;2.44324E+15;3.25616E+15;3.90051E+15;4.10626E+15;5.03663E+15;6.90112E+15;7.94728E+15;1.07028E+16;1.23178E+16;1.21129E+16;1.44255E+16;1.67569E+16;2.16127E+16;2.74294E+16;4.09057E+16;6.69969E+16;1.00913E+17
Gross domestic savings (% of GDP);NY.GDS.TOTL.ZS;7.641042255;9.698886265;11.78593089;12.95607854;17.14788241;21.51381131;21.62441163;21.45343236;27.51790407;25.3318543;24.88186091;25.46233006;29.94001089;38.25599096;42.17478705;30.62052317;40.69740861;37.52238521;26.44929856;27.82206296;21.2955733;14.46128882;19.63861939;21.20650503;19.26938231;17.08026341;13.03638886;16.72651271;9.890892203;16.47799711;21.2780901;27.31752237;29.0264805;33.34094051;34.27326341;35.71579305;40.24686517;36.00705174;29.02642003;36.1111203;37.34071903;36.90765193;41.68832685;44.13818094;46.08556973;46.7203934;46.09747938;49.09766232;48.28689012;44.32209642;46.27345138;44.52622051;38.86650051;40.17940957;39.83094461;31.0095858;33.18098326;35.02155464;35.86938629;35.62315691;39.29895164;42.62228649;40.54094787
GDP (current US$);NY.GDP.MKTP.CD;4199134386;4426949090;4693566412;4928628013;5379845642;6197319923;6789938665;7555383683;8623172951;9743089598;10976245143;13731802908;17153463263;27081698250;46209092072;51776222350;68055295081;80600122702;77994316621;90391877326;94362275580;1.00499E+11;1.25949E+11;1.56365E+11;1.62277E+11;1.80184E+11;2.09095E+11;1.3401E+11;1.23058E+11;1.20496E+11;1.24813E+11;null;null;63743623232;71841461173;96419225744;1.20404E+11;1.13919E+11;1.10277E+11;1.13848E+11;1.09592E+11;1.26879E+11;1.28627E+11;1.53545E+11;1.90043E+11;2.26452E+11;2.66299E+11;3.49882E+11;4.12336E+11;4.16397E+11;4.86808E+11;6.26133E+11;6.44036E+11;4.92776E+11;4.60383E+11;4.08213E+11;4.57955E+11;4.8663E+11;3.27901E+11;2.8365E+11;2.39735E+11;3.59097E+11;3.88544E+11
Gross value added at basic prices (GVA) (constant 2015 US$);NY.GDP.FCST.KD;47800382767;53007869421;57289766239;61121959346;66561066616;77691006099;85845032617;95693352101;1.09262E+11;1.26101E+11;1.40024E+11;1.60091E+11;1.8397E+11;2.00965E+11;2.18373E+11;2.15942E+11;2.55112E+11;2.45622E+11;2.14231E+11;1.93996E+11;1.48903E+11;1.41505E+11;1.73705E+11;1.90561E+11;1.76142E+11;1.79297E+11;1.61775E+11;1.6211E+11;1.53547E+11;1.62565E+11;1.85397E+11;2.08189E+11;2.14569E+11;2.17478E+11;2.15474E+11;2.21259E+11;2.33187E+11;2.35115E+11;2.40279E+11;2.44359E+11;2.58222E+11;2.6352E+11;2.84929E+11;3.0891E+11;3.23236E+11;3.39864E+11;3.5794E+11;3.82029E+11;3.81741E+11;3.81762E+11;4.03624E+11;4.15983E+11;3.981E+11;3.91541E+11;4.05089E+11;3.97797E+11;4.32481E+11;4.42336E+11;4.26762E+11;4.16493E+11;4.3346E+11;4.52403E+11;4.64814E+11
Discrepancy in expenditure estimate of GDP (current LCU);NY.GDP.DISC.CN;-44434793293;-44774582351;-47861729597;-34187300631;-38844319117;-47025443120;-57996671827;-59125551276;-70874020335;-87094139747;-1.08243E+11;-1.15728E+11;-1.5082E+11;-1.7907E+11;-3.80976E+11;-5.69305E+11;-7.85703E+11;-7.17287E+11;-7.65701E+11;-5.01536E+11;-7.80672E+11;-8.07553E+11;-3.4586E+11;-7.3643E+11;-1.26297E+12;-2.82889E+11;-3.99372E+11;-7.37241E+11;-50237752473;4.65819E+11;-4.6369E+11;9.08153E+11;6.43397E+11;-1.94617E+12;-5.56771E+12;-5.27494E+12;-7.32366E+12;-4.56621E+12;-3.43315E+12;-6.13561E+11;3.53803E+12;2.64666E+13;2.02583E+13;4.34944E+13;1.41895E+13;3.61646E+13;2.14341E+13;5.09437E+13;6.23818E+13;6.98486E+13;4.94688E+13;-9.50231E+12;1.30617E+14;2.07925E+14;3.16338E+14;1.22019E+14;3.07805E+14;4.18161E+14;4.9083E+14;null;null;null;null
Services, value added (constant LCU);NV.SRV.TOTL.KN;4.81363E+14;4.88893E+14;5.09325E+14;5.35157E+14;5.93505E+14;7.02757E+14;7.61821E+14;8.44395E+14;9.39612E+14;1.04151E+15;1.14715E+15;1.31659E+15;1.6233E+15;1.68684E+15;2.36968E+15;2.80034E+15;3.16621E+15;3.32817E+15;3.39437E+15;3.37273E+15;3.33645E+15;2.97015E+15;2.90296E+15;3.14427E+15;3.10083E+15;3.16617E+15;2.71613E+15;2.50339E+15;2.27338E+15;2.42558E+15;2.68273E+15;2.9619E+15;3.0843E+15;3.10045E+15;3.17248E+15;3.27084E+15;3.46085E+15;3.61743E+15;3.74192E+15;3.85896E+15;3.97311E+15;4.17652E+15;4.47131E+15;4.80905E+15;5.17024E+15;5.54373E+15;5.93969E+15;6.48059E+15;6.39743E+15;6.46674E+15;6.81142E+15;7.08538E+15;7.15552E+15;7.14193E+15;7.30981E+15;7.24538E+15;7.56789E+15;7.7236E+15;7.71939E+15;7.70485E+15;7.87799E+15;8.38634E+15;8.56097E+15
Services, value added (current US$);NV.SRV.TOTL.CD;1827098009;1900068943;1995453035;2102890964;2368970667;2763355371;3006081731;3314510049;3748125157;4169127571;4675871144;5597095735;7212214007;9572902697;15083895340;19801680505;25470119603;33391128076;37697748423;43957857104;52021495205;52822578199;58515076193;76087677277;82267020058;97046972974;1.19212E+11;75126167940;71389609840;67587204409;66398329299;null;null;31038948982;34631283736;48117151980;58768828722;59780759901;63043580867;60841696029;56348378542;66384357506;61352960712;74884536262;91065189113;1.08654E+11;1.3082E+11;1.66571E+11;2.0057E+11;2.14364E+11;2.4894E+11;3.05075E+11;3.24781E+11;2.34768E+11;2.27225E+11;2.2526E+11;2.40529E+11;2.4654E+11;1.59319E+11;1.42175E+11;1.17939E+11;1.69957E+11;1.82382E+11
Industry (including construction), value added (% of GDP);NV.IND.TOTL.ZS;25.74757522;27.82821472;29.54496024;30.86295178;31.40205583;32.82712924;33.56323089;35.18549836;36.30294548;38.53898256;40.58258388;43.13483658;43.39490363;53.64564154;62.3233342;56.73268549;57.24302288;53.29131527;45.68279439;45.75337475;35.1535961;34.72086644;40.53818945;38.05908434;34.43981847;30.55544573;24.90974033;24.9787619;24.80721348;26.14508954;32.79981982;33.39410377;33.54157415;42.02935024;43.3701571;39.44042389;42.08253625;38.71144368;32.50355341;37.45888618;40.30591016;39.91726198;45.50293488;45.05994955;47.47047248;49.63724905;48.25990087;48.23566314;47.66878878;43.0965173;44.20937942;46.23228857;42.09416321;42.77886847;39.22822805;32.17473965;34.36750777;36.22932632;36.93284806;33.29714526;36.14055614;38.01373475;40.21873279
Industry (including construction), value added (current LCU);NV.IND.TOTL.CN;81899027883;93319523136;1.05043E+11;1.15225E+11;1.27971E+11;1.54106E+11;1.72628E+11;2.01374E+11;2.37133E+11;2.84433E+11;3.37424E+11;4.48682E+11;5.63862E+11;1.00073E+12;1.94754E+12;2.00231E+12;2.74783E+12;3.03157E+12;2.51102E+12;2.91466E+12;2.37427E+12;2.79248E+12;4.31189E+12;5.19104E+12;5.1362E+12;4.83022E+12;3.9871E+12;4.85072E+12;5.43293E+12;7.11988E+12;1.24595E+13;1.79612E+13;2.41034E+13;4.46071E+13;6.06018E+13;7.78436E+13;1.13803E+14;1.22575E+14;1.14916E+14;1.77921E+14;2.53149E+14;2.94712E+14;4.65774E+14;5.66912E+14;7.77107E+14;1.00759E+15;1.17861E+15;1.56636E+15;1.85323E+15;1.77017E+15;2.2263E+15;3.18818E+15;3.32362E+15;4.54953E+15;4.8073E+15;3.8944E+15;4.95198E+15;6.06349E+15;7.9441E+15;9.11144E+15;1.47422E+16;2.53835E+16;4.0471E+16
Agriculture, forestry, and fishing, value added (constant LCU);NV.AGR.TOTL.KN;1.48239E+14;1.50255E+14;1.50999E+14;1.54636E+14;1.51477E+14;1.6306E+14;1.68906E+14;1.82359E+14;1.9972E+14;2.02217E+14;2.08975E+14;2.07647E+14;2.35737E+14;2.49406E+14;2.57974E+14;2.83357E+14;3.16572E+14;3.04186E+14;3.24531E+14;3.44222E+14;3.56911E+14;3.63519E+14;3.89405E+14;4.07136E+14;4.37022E+14;4.7154E+14;4.93958E+14;5.06225E+14;5.02975E+14;5.24786E+14;5.82664E+14;6.15404E+14;6.78702E+14;6.85244E+14;6.99711E+14;7.25658E+14;7.49512E+14;7.56887E+14;8.36856E+14;7.75745E+14;8.02691E+14;7.84526E+14;8.90902E+14;9.35007E+14;9.37956E+14;1.04834E+15;1.12948E+15;1.15457E+15;9.19575E+14;9.89632E+14;1.05017E+15;1.08926E+15;1.14373E+15;1.20475E+15;1.30474E+15;1.34341E+15;1.40983E+15;1.4571E+15;1.42268E+15;1.55386E+15;1.60304E+15;1.56112E+15;1.5822E+15
Agriculture, forestry, and fishing, value added (current US$);NV.AGR.TOTL.CD;1087601065;1102424026;1118359368;1096975488;1117182324;1152429853;1184288797;1247838567;1367084586;1412494634;1425914188;1745683254;2050593704;2672632055;3203595421;3454655055;4414780165;4566293757;5820156811;7748317852;10436905128;13762524874;16088917590;17289497354;19972834175;23010388523;31840981456;21847360598;18932469660;18769500625;15590250754;null;null;6628298246;7580396565;12158692054;12457565398;11178545180;12742561181;11288058133;9938235611;10544692472;10065759752;11440764620;13093191509;14722519031;18955719064;25140981202;25246406150;28833368803;31639529104;29065826664;43774689098;43240611337;43176650931;41195220593;44808204645;47821430576;36787185199;37795928992;29278890454;44503224496;48415039813
Imports of goods and services (constant LCU);NE.IMP.GNFS.KN;4.88415E+14;4.65261E+14;4.29678E+14;4.06525E+14;5.70304E+14;6.56581E+14;7.46758E+14;9.27841E+14;1.11502E+15;1.24492E+15;1.34095E+15;1.60246E+15;1.86348E+15;2.36652E+15;4.25176E+15;6.42667E+15;6.28422E+15;7.12296E+15;4.96458E+15;3.74265E+15;3.81772E+15;3.61803E+15;3.22815E+15;4.47892E+15;3.07801E+15;2.86437E+15;2.49393E+15;2.74336E+15;2.33471E+15;2.7881E+15;3.6863E+15;4.91623E+15;4.456E+15;3.57296E+15;2.15893E+15;2.13218E+15;2.5089E+15;2.34872E+15;2.45948E+15;2.30853E+15;2.67636E+15;3.16499E+15;3.73065E+15;4.43088E+15;4.86932E+15;4.79675E+15;4.99506E+15;5.28611E+15;5.59137E+15;5.49893E+15;5.62781E+15;5.10432E+15;4.02909E+15;3.29191E+15;3.33933E+15;2.61548E+15;2.77027E+15;2.95875E+15;2.18106E+15;1.47294E+15;1.03532E+15;1.28478E+15;1.40361E+15
Imports of goods and services (current US$);NE.IMP.GNFS.CD;730164937.8;702251187.7;642016253.2;614102503;878548557;1021055597;1195883822;1485305336;1768850272;2050926063;2327125275;2928005765;3689022456;5594486012;11105780994;18318369218;19212061650;23448812229;17330359279;14516475277;27125991305;28082907606;26415543503;37834565739;26971526132;25746070825;21773514754;11695655291;17595820159;21819187476;29707835778;null;null;13150789257;9571397629;12985745384;18092098185;17511229164;18245137477;17752833900;21688407084;26939208541;30560192008;40000915039;49500478448;54596877012;62043181819;73628015383;89280163310;87393787042;94299457000;1.01973E+11;1.39202E+11;1.07937E+11;1.03682E+11;84507234684;88046990400;1.07103E+11;92360276172;77352552129;58460830560;77330090106;69453692810
Gross capital formation (constant 2015 US$);NE.GDI.TOTL.KD;20087369740;21410556440;21335616889;22755936270;26977551378;33389632950;37179804634;42358015520;52349921500;56804203232;62106522752;62887312346;84223835123;87808715832;1.32375E+11;1.78957E+11;2.32228E+11;2.36542E+11;1.91945E+11;1.27699E+11;1.471E+11;1.27371E+11;1.18629E+11;1.54588E+11;1.18442E+11;1.06895E+11;1.02808E+11;1.01886E+11;66152345056;79550856621;98691559820;1.28675E+11;1.19137E+11;86580826832;60044198796;77328570421;99273065001;96458331058;97733068573;1.01374E+11;1.05796E+11;1.21421E+11;1.43685E+11;1.69575E+11;1.78856E+11;1.72741E+11;1.81373E+11;2.04945E+11;2.2477E+11;2.31858E+11;2.5436E+11;2.43355E+11;2.26071E+11;2.05633E+11;2.1391E+11;1.30556E+11;1.734E+11;1.84943E+11;1.73548E+11;null;null;null;null
Wholesale price index (2010 = 100);FP.WPI.TOTL;0.291800797;0.295555111;0.299223119;0.299784108;0.315966495;0.325114937;0.321403777;0.32230999;0.324122418;0.333184554;0.342850833;0.364082125;0.384925039;0.428250682;0.500877234;0.540750634;0.589340948;0.690491653;0.760054339;0.86754854;1.138894801;1.406573053;1.585140297;1.818770808;1.957421497;2.061204537;2.452122639;3.24411256;3.963334176;4.771400815;5.752926785;7.236798469;9.627876144;12.09167269;16.64092426;26.72138635;35.52138617;39.31903996;44.00406731;52.44708361;62.35992721;66.05369856;71.45548;79.01541998;88.95380391;100;109.1625962;126.2043866;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Broad money to total reserves ratio;FM.LBL.BMNY.IR.ZS;3.711255138;3.599779866;4.497773418;4.678307872;6.854731825;5.989084946;6.411528081;6.319977053;7.367065145;8.987347223;15.1981177;6.360935306;5.20959243;5.285546303;1.291593815;1.661850175;2.331903517;2.120262843;2.597761546;2.627498946;4.398931542;17.56470592;9.06537305;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Monetary Sector credit to private sector (% GDP);FM.AST.PRVT.GD.ZS;12.93681681;14.2183461;12.97752832;14.83352175;16.4653159;15.96772425;17.20658887;17.83092394;19.00933599;19.34586014;20.98020089;19.67152025;20.46522615;19.79745772;15.37110179;20.91926696;21.68477564;21.49023757;null;25.73462184;29.69508404;26.16050401;20.66915143;19.81902473;18.30482291;19.25917446;22.78181313;21.54547759;21.33045845;22.7084297;22.97866413;22.42038052;23.19095226;20.85201807;19.70570131;16.68823738;15.17698489;16.60541304;18.02192033;18.04327967;26.24978118;30.07958278;29.10088063;32.43325476;35.0710959;38.34815323;44.7948028;47.04727614;45.31506944;49.21222941;52.02294982;49.2475079;49.61732348;44.59649913;48.9844793;56.37195936;60.29749349;null;null;null;null;null;null
Total reserves (includes gold, current US$);FI.RES.TOTL.CD;185218400;209547100;210768020;241829560;191508480;251965520;268925660;325062800;322136600;310902800;216875910;642577379.3;1061180295;1498630790;8920357632;9267871108;9184961807;12729171532;12840645493;17207747367;12783023465;3331695372;7685456407;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Population in the largest city (% of urban population);EN.URB.LCTY.UR.ZS;25.95287044;26.26522034;26.57516518;26.87720511;27.17105994;27.4607421;27.76891359;27.9079124;27.95847988;28.01084853;28.05860487;28.12023739;28.20224561;28.28390013;28.35996824;28.42808179;28.51271087;28.21505094;27.68119188;27.12063863;26.53417284;25.58404142;24.69225574;24.15976957;23.63540946;23.13672692;22.67667107;22.08377522;21.50348727;20.97447009;20.25173544;19.56873795;19.03961431;18.79755596;18.61256875;18.25958788;17.92336632;17.67553214;17.44377044;17.21423309;16.9814923;16.74462739;16.63700277;16.54107192;16.33680809;16.13903898;15.95778483;15.75187958;15.5432417;15.34139369;15.13805047;14.95884876;14.82818159;14.69457237;14.50019667;14.25845196;14.08271772;13.96756814;13.87263968;13.81158371;13.79228541;13.79365235;13.79374683
CO2 emissions from solid fuel consumption (kt);EN.ATM.CO2E.SF.KT;612.389;524.381;542.716;605.055;726.066;755.402;755.402;770.07;788.405;1301.785;1261.448;1430.13;2427.554;2665.909;3039.943;2618.238;2328.545;2335.879;2537.564;2409.219;2434.888;1928.842;2999.606;2753.917;3274.631;3428.645;3582.659;3655.999;3707.337;3058.278;2695.245;3846.683;3388.308;4136.376;4176.713;3912.689;4092.372;4198.715;4888.111;4979.786;5331.818;4143.71;4668.091;5192.472;4998.121;6090.887;5988.211;6582.265;5863.533;4396.733;5452.829;5317.15;4132.709;4121.708;3593.66;4305.058;3454.314;null;null;null;null;null;null
CO2 emissions from liquid fuel consumption (% of total);EN.ATM.CO2E.LF.ZS;58.4485633;52.92523833;49.98042287;49.07752351;49.59907479;45.83958532;41.0356061;40.66817789;44.33072268;34.54954557;35.6430111;38.72025955;35.87324625;39.4923743;41.83462862;46.9198179;47.39565044;52.64899922;52.40599467;62.59417406;68.61085836;70.87176822;65.35937292;67.61084045;68.92053061;70.48720405;67.34043342;68.7494255;68.25119204;71.33213149;77.77337927;66.19535581;61.29420351;63.40827741;60.26302703;57.53851468;56.52157615;49.18443499;59.76672779;69.82140559;61.71321555;64.85495;59.1511605;53.99879953;52.83953825;49.42485328;47.58873403;43.02952209;43.83866951;42.27327548;41.33687306;39.85503427;42.95459798;42.35543445;40.21828352;37.3337049;35.5186143;null;null;null;null;null;null
CO2 emissions from gaseous fuel consumption (% of total);EN.ATM.CO2E.GF.ZS;4.923016574;5.208228801;5.442443226;5.339719709;4.857363146;4.426408403;4.183574327;4.182858377;3.689035244;10.86208418;22.39562545;17.73612112;16.47314949;14.81848278;16.81233278;16.43904108;14.58903949;12.47903388;11.60113754;14.67438689;10.9948438;10.763934;9.1563704;10.71314907;16.69952537;17.05214178;19.24930193;19.19294053;21.81897683;22.2929692;22.34284033;22.81366932;22.57545973;26.2626202;28.08305919;29.97139794;29.01515059;31.22379843;33.71716525;35.04214454;35.37646104;36.39733341;39.03596686;40.59530818;42.65920326;44.39816999;45.17828881;45.19650666;46.26163999;47.38179225;50.36375447;52.24983764;51.21741893;49.82027495;54.90381777;59.29015891;62.89883254;null;null;null;null;null;null
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports);TM.VAL.MRCH.WR.ZS;1.687915245;2.51039069;0.384172109;0.384615385;0.448497533;0.806734479;0.621251071;0.934246819;0.502512563;0.101126842;null;null;null;0.361053566;0.418371484;0.730724248;0.336005339;0.18986996;0.019282684;0.041258381;0.119826712;0.429152793;0.261713803;0.375628349;0.524354905;0.499649369;0.277926243;0.619062867;1.358462856;1.546029515;0.177869413;0.072445455;0.057248075;0.461645955;0.662144977;0.518151547;0.648276774;0.682055344;null;null;0.866191244;0.836627052;0.786464343;1.114167345;0.958802403;0.537944094;0.696124168;0.636691143;0.479498177;0.839855205;0.478022942;0.384312726;0.350270442;0.264172127;0.26607592;0.268372977;0.32024597;0.306662352;0.22234555;0.189347596;0.206570169;null;null
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports);TM.VAL.MRCH.R5.ZS;4.435266655;3.19201995;3.150211295;2.865384615;2.377036926;3.00479364;2.699228792;2.802740457;2.526920316;3.474429356;null;null;null;1.914767683;2.753511003;3.752211021;3.73485842;2.170527811;1.320863864;2.38267148;1.428703106;2.449130596;2.000844238;3.137601503;2.814957914;1.946002805;2.266167825;1.835841605;2.973932199;1.991098618;1.101935732;1.146322972;1.440241045;1.730798024;2.752861382;3.639243076;2.503142158;1.976388941;1.424282622;1.569029409;2.468915319;3.553523846;3.028112267;4.125841474;3.844288884;3.133685993;4.207373489;3.821641789;3.834367075;3.338931801;3.459364047;6.825651449;6.293328807;9.940277257;8.000040848;6.708748724;5.856014561;5.433149056;7.449121523;13.81340289;9.711276121;null;null
Population, female (% of total population);SP.POP.TOTL.FE.ZS;48.68566763;48.65208745;48.61875112;48.58786417;48.55884831;48.52853765;48.50102958;48.47819114;48.46240612;48.45588785;48.4539787;48.45215235;48.44843049;48.44686081;48.44860099;48.43302378;48.42284196;48.42918141;48.43417567;48.45125844;48.48883706;48.36114145;48.28484592;48.40870986;48.50731568;48.58610473;48.67391827;48.76803988;48.85347806;48.91563825;48.96965207;49.02015374;49.05567128;49.07523551;49.09367557;49.12209034;49.15359784;49.18931629;49.22421608;49.25861591;49.29310876;49.32660442;49.35308904;49.33489883;49.27980026;49.23102728;49.19677882;49.1832166;49.18273715;49.18380976;49.18514915;49.19855032;49.22410506;49.24944679;49.2806266;49.31615632;49.34277125;49.36404412;49.38660715;49.41077722;49.4388963;49.47104772;49.50389139
Age dependency ratio (% of working-age population);SP.POP.DPND;89.80320949;91.30259607;92.41835922;93.24459189;93.27916417;92.66430693;92.15059446;91.80294396;91.51946379;91.20099511;90.75155147;90.1857648;89.45030889;88.5268998;87.58163884;86.7524405;86.37080604;86.31441942;86.3619454;86.69531987;87.24416724;86.01767111;85.16402035;86.21425346;87.17749466;88.07028583;88.85699352;89.49187194;89.94550352;90.0260774;88.19052263;85.94793992;84.86261923;84.81681509;83.84736345;80.7108816;76.98317167;72.66338119;68.02315363;63.51518382;59.2339184;55.26987594;52.07461539;49.18670111;46.30713199;43.78164608;41.58656227;39.81607156;38.54171784;37.79189641;37.51824071;37.66263109;38.15981472;38.86674481;39.99498088;41.35565401;42.43143978;43.32387136;44.14377682;44.74148003;45.13815845;45.31964546;45.32443344
Population ages 75-79, male (% of male population);SP.POP.7579.MA.5Y;0.784368053;0.772988937;0.764927788;0.755699303;0.739164612;0.714520931;0.684419199;0.649974687;0.614809179;0.584393951;0.560956245;0.542589496;0.527923473;0.517563692;0.512957368;0.513478785;0.518687233;0.527835545;0.536943451;0.542426809;0.543506691;0.538569659;0.530016075;0.520977582;0.512294188;0.504601098;0.497965615;0.492812907;0.488627927;0.485396859;0.482395079;0.480070763;0.478862561;0.48158559;0.493130533;0.512997788;0.539701406;0.57343286;0.608145704;0.635613931;0.655097357;0.667092153;0.673799229;0.677139486;0.682247076;0.693484966;0.709546525;0.730642338;0.755389389;0.779960123;0.802753455;0.82671074;0.851356147;0.874428729;0.891303308;0.902146501;0.915074071;0.931236114;0.950625263;0.977455849;1.01369248;1.050682494;1.090160891
Population ages 65 and above (% of total population);SP.POP.65UP.TO.ZS;4.29735993;4.191279403;4.08727917;3.990591809;3.907631603;3.836445464;3.777963045;3.731746283;3.693104615;3.65873248;3.626749381;3.599690609;3.577245746;3.555715018;3.531152669;3.500030001;3.464910725;3.42436202;3.375127637;3.325194376;3.279787658;3.214452801;3.152395422;3.117123085;3.10036057;3.104490579;3.128813577;3.173567863;3.231066259;3.290578222;3.325112622;3.355057553;3.407932114;3.489735577;3.582466759;3.664469939;3.753114215;3.844908812;3.933763948;4.022888373;4.111326398;4.196265096;4.30119267;4.4074178;4.491913239;4.569142205;4.645255306;4.729983414;4.819585961;4.914219696;5.019767133;5.144590194;5.286179141;5.435555438;5.602789922;5.787129673;6.003412314;6.253066347;6.518681296;6.805110385;7.107654162;7.375061819;7.622736364
Population ages 65 and above, female (% of female population);SP.POP.65UP.FE.ZS;4.361319096;4.286956064;4.215324186;4.149137026;4.090272604;4.035529872;3.987334145;3.945020476;3.906235814;3.871950656;3.841240205;3.817314057;3.799371091;3.782526133;3.759844527;3.725329241;3.681831654;3.628895274;3.565609329;3.505129298;3.454175043;3.38736426;3.327106564;3.29632364;3.284989706;3.294805288;3.325280784;3.376390888;3.441685071;3.509676679;3.547225435;3.580260335;3.64361393;3.744216882;3.856994937;3.953420813;4.059844931;4.172042543;4.277642509;4.383286424;4.489111649;4.588680773;4.710697036;4.836210367;4.936308921;5.022422688;5.103797753;5.195961845;5.289173166;5.386233485;5.498457452;5.630644366;5.781219979;5.938531525;6.10272458;6.277101809;6.490717336;6.745038244;7.018950215;7.316335939;7.632742331;7.916582206;8.182187793
Population ages 60-64, male (% of male population);SP.POP.6064.MA.5Y;2.051569568;2.058153031;2.083831891;2.11629088;2.138078752;2.142731855;2.133513292;2.111335246;2.080080382;2.04674913;2.01392583;1.982845805;1.955109997;1.928642564;1.901716302;1.876763026;1.85286609;1.824073036;1.798396077;1.794843779;1.814363373;1.844805255;1.897817622;1.966111671;2.013537693;2.035096863;2.0340389;2.010346538;1.975925481;1.949759581;1.928394926;1.918591785;1.931506553;1.963757355;1.997842617;2.020652173;2.045281152;2.071605013;2.094523407;2.111019472;2.121120844;2.126234981;2.1358875;2.149098688;2.16813621;2.207764049;2.267197907;2.343857322;2.435480321;2.577334307;2.75750349;2.93142012;3.098395041;3.254239168;3.35520639;3.407683775;3.474161611;3.556245977;3.644591386;3.739071359;3.824801035;3.892830248;3.953511373
Population ages 50-54, male (% of male population);SP.POP.5054.MA.5Y;3.381492464;3.321732505;3.265746467;3.212126579;3.159370452;3.111461059;3.065905198;3.015952361;2.976593622;2.976104545;3.016057413;3.095016267;3.21749256;3.352612632;3.450246249;3.496929783;3.495605785;3.443640864;3.362172019;3.285298054;3.225575763;3.174651626;3.141975897;3.124051684;3.102260202;3.072081439;3.041127159;3.012882068;2.983710264;2.94967671;2.909373097;2.868959487;2.834047095;2.811359561;2.810601706;2.838312312;2.894534818;2.976378506;3.079674262;3.248201809;3.468282035;3.67997945;3.891347116;4.09585819;4.237978814;4.335070029;4.435040327;4.538822398;4.645863752;4.751533221;4.843059126;4.915568698;4.970760413;5.006062596;4.999631436;4.959919965;4.962401329;4.999198001;5.062277668;5.180958545;5.339720616;5.514295603;5.663516893
